	1-1_ActivityCycle	12-1_HabitatBreadth	12-2_Terrestriality	6-1_DietBreadth	6-2_TrophicLevel
Tapirus_indicus	1	1	1	3	1
Gazella_subgutturosa	2	1	1	3	1
Mazama_temama					
Sus_celebensis	2			5	2
Babyrousa_babyrussa	3	1	1	6	2
Tragelaphus_angasii	2	1	1	4	1
Mazama_americana	2	1	1	2	1
Muntiacus_reevesi				2	1
Sus_salvanius	2	1	1	4	2
Blastocerus_dichotomus	2	1	1	3	1
Hexaprotodon_liberiensis	2	2	1	4	1
Axis_porcinus				3	1
Potamochoerus_porcus	2	1	1	5	2
Nanger_granti	2	1	1	2	1
Rupicapra_rupicapra		1	1	2	1
Cephalophus_jentinki	1			4	1
Tayassu_pecari	2	1	1	6	2
Oryx_gazella	2	1	1	5	1
Kobus_kob		1	1	1	1
Connochaetes_gnou	2	1	1	2	1
Eudorcas_rufina					
Bubalus_quarlesi	3			3	1
Tragulus_nigricans					
Kobus_leche	2	2	1	2	1
Muntiacus_vuquangensis					
Lama_glama		1	1	2	1
Muntiacus_atherodes	2			2	1
Equus_burchellii		1	1	3	1
Alcelaphus_caama					
Raphicerus_campestris	3	1	1	5	1
Rusa_timorensis	1			2	1
Pudu_mephistophiles					
Bubalus_bubalis		1	1	2	1
Damaliscus_pygargus					
Gazella_spekei		1	1		
Equus_asinus		1	1		
Ovis_ammon		1	1	2	1
Madoqua_guentheri	3	1	1	6	1
Boselaphus_tragocamelus				5	1
Capreolus_capreolus	2	1	1		
Pecari_tajacu	2	1	1	5	1
Sus_ahoenobarbus					
Cephalophus_dorsalis	1	1	1	4	2
Gazella_cuvieri					
Madoqua_piacentinii	3			2	1
Nanger_soemmerringii	3	1	1		
Odocoileus_hemionus		1	1	2	1
Elaphodus_cephalophus					
Alcelaphus_lichtensteinii		1	1	3	1
Hyemoschus_aquaticus	1	1	1	1	1
Madoqua_kirkii	2	1	1	5	1
Tragelaphus_strepsiceros	3	1	1	2	1
Capricornis_rubidus					
Bos_frontalis	2			3	1
Hemitragus_jayakari	2	1	1	3	1
Rupicapra_pyrenaica					
Rhinoceros_sondaicus		1	1	2	1
Capricornis_crispus					
Tragelaphus_scriptus	2	2	1	4	1
Tapirus_terrestris	2	1	1	5	2
Rhinoceros_unicornis	2	2	1	3	1
Potamochoerus_larvatus	1	1	1	7	2
Gazella_dorcas	2	1	1	6	2
Bison_bison	2	2	1	2	1
Mazama_gouazoubira	2	1	1	2	1
Kobus_ellipsiprymnus	2	1	1	2	1
Equus_caballus	2	1	1	1	1
Alces_americanus				2	1
Taurotragus_oryx	2	1	1	3	1
Rucervus_duvaucelii	2	2	1	2	1
Mazama_nana		1	1		
Eudorcas_rufifrons		1	1		
Vicugna_vicugna		1	1	1	1
Muntiacus_truongsonensis					
Tragelaphus_spekii	2	2	1	2	1
Moschus_berezovskii	2			2	1
Rucervus_schomburgki					
Mazama_bricenii		1	1		
Redunca_redunca	2	1	1	1	1
Gazella_leptoceros		1	1	2	1
Hippopotamus_amphibius	2	2	1	2	2
Sus_barbatus	2	1	1	6	2
Hydropotes_inermis					
Hippotragus_equinus	3	1	1	5	1
Oryx_leucoryx		1	1	5	1
Antidorcas_marsupialis	2	1	1	2	1
Sus_philippensis	2			6	2
Tragulus_napu	1			3	1
Gazella_gazella	2	1	1	3	1
Elaphurus_davidianus		1	1	2	1
Ovis_aries				2	1
Ovis_dalli		1	1	2	1
Dama_dama	2	1	1	2	1
Tragelaphus_imberbis		1	1	3	1
Alces_alces	2	1	1	1	1
Ovibos_moschatus		1	1	2	1
Antilocapra_americana		1	1	2	1
Ammodorcas_clarkei		1	1		
Tapirus_bairdii	2	1	1	4	1
Equus_zebra	3	1	1	2	1
Camelus_dromedarius	3	1	1	3	1
Cephalophus_adersi		1	1	4	1
Muntiacus_feae				4	2
Ceratotherium_simum	2	1	1	1	1
Ourebia_ourebi	3	1	1	3	1
Cephalophus_zebra		1	1	3	2
Cephalophus_nigrifrons	2	1	1	4	1
Cephalophus_spadix	1	1	1	3	1
Philantomba_monticola	3	1	1	3	2
Pudu_puda	2	1	1	4	1
Rusa_alfredi					
Rucervus_eldii		1	1	3	1
Eudorcas_thomsonii	2	1	1	2	1
Capricornis_milneedwardsii					
Phacochoerus_aethiopicus	3	1	1	4	1
Okapia_johnstoni	3	1	1	1	1
Przewalskium_albirostris					
Capra_walie		1	1		
Alcelaphus_buselaphus	3	1	1	2	1
Muntiacus_putaoensis					
Mazama_rufina		1	1		
Nanger_dama	3	1	1	1	1
Cephalophus_weynsi					
Muntiacus_gongshanensis				4	2
Rusa_marianna					
Hemitragus_hylocrius	2	1	1	2	1
Addax_nasomaculatus	1	1	1	5	1
Procapra_gutturosa	2	1	1	1	1
Equus_quagga					
Cephalophus_rufilatus	3	1	1	5	2
Taurotragus_derbianus		1	1	1	1
Sus_scrofa	2			5	2
Axis_calamianensis	3				
Capricornis_swinhoei					
Gazella_arabica				2	1
Sus_bucculentus					
Gazella_erlangeri					
Tetracerus_quadricornis				5	1
Sus_verrucosus				3	2
Oryx_dammah		1	1	5	1
Raphicerus_sharpei	1	1	1	3	1
Tragelaphus_eurycerus	2	1	1	4	1
Axis_kuhlii	3			2	1
Cephalophus_silvicultor	2	1	1	5	2
Moschus_moschiferus	2			3	1
Moschiola_meminna	1				
Ovis_nivicola					
Hylochoerus_meinertzhageni	2	1	1	2	1
Capra_hircus				2	1
Capricornis_sumatraensis				2	1
Sylvicapra_grimmia	2	1	1	4	1
Babyrousa_togeanensis					
Litocranius_walleri		1	1	1	1
Muntiacus_puhoatensis					
Pelea_capreolus	3	1	1	2	1
Saiga_tatarica	3	2	2	2	1
Moschus_chrysogaster	2			2	1
Mazama_pandora					
Procapra_przewalskii					
Tragulus_kanchil					
Camelus_bactrianus		1	1	2	1
Muntiacus_muntjak	2			3	1
Hippocamelus_antisensis		1	1	2	1
Moschus_fuscus	2			2	1
Cervus_elaphus	2	1	1	5	1
Kobus_vardonii	2	1	1	2	1
Phacochoerus_africanus	3			1	1
Giraffa_camelopardalis	2	1	1	5	1
Cephalophus_callipygus	3	1	1	3	1
Babyrousa_celebensis					
Pantholops_hodgsonii					
Bos_grunniens				2	1
Aepyceros_melampus	3	1	1	2	1
Bos_javanicus	2	1	1	2	1
Cervus_nippon	2	1	1	2	1
Neotragus_pygmaeus	2			4	1
Saiga_borealis					
Odocoileus_virginianus	2	1	1	4	1
Capra_sibirica					
Capra_falconeri	3	1	1	2	1
Syncerus_caffer	2	1	1	1	1
Axis_axis					
Madoqua_saltiana	2			2	1
Capra_pyrenaica				2	1
Muntiacus_rooseveltorum					
Connochaetes_taurinus	2	1	1	1	1
Pseudoryx_nghetinhensis				2	1
Naemorhedus_griseus					
Diceros_bicornis		1	1	2	1
Mazama_chunyi		1	1		
Bison_bonasus	2	2	1	2	1
Pseudois_nayaur	3	1	1	2	1
Naemorhedus_goral	2	1	1	2	1
Hippotragus_niger	3	1	1	5	1
Capra_nubiana					
Gazella_saudiya					
Equus_kiang		1	1		
Mazama_bororo					
Equus_grevyi		1	1	1	1
Cephalophus_brookei					
Neotragus_moschatus	2	1	1	5	1
Budorcas_taxicolor		1	1	3	1
Procapra_picticaudata					
Capra_ibex		1	1	2	1
Capra_caucasica					
Redunca_fulvorufula	2	1	1	1	1
Tragulus_javanicus	1			3	1
Hippotragus_leucophaeus					
Beatragus_hunteri		1	1	1	1
Tragelaphus_buxtoni	2	1	1	1	1
Equus_hemionus		1	1	2	1
Rusa_unicolor	2			3	1
Ozotoceros_bezoarticus		1	1	3	1
Hemitragus_jemlahicus				2	1
Kobus_megaceros					
Rangifer_tarandus				3	1
Cephalophus_leucogaster	3	1	1	5	2
Tapirus_pinchaque	2	1	1	4	1
Antilope_cervicapra		1	1	5	1
Ovis_canadensis	2	1	1	2	1
Cephalophus_ogilbyi	3				
Naemorhedus_baileyi					
Capreolus_pygargus	2	1	1		
Bos_sauveli	2	1	1	2	1
Capricornis_thar					
Dicerorhinus_sumatrensis	2	2	1	2	1
Damaliscus_korrigum					
Dorcatragus_megalotis	3	1	1	3	1
Redunca_arundinum	2	1	1	2	1
Cephalophus_natalensis	3	1	1	4	1
Cephalophus_niger		1	1	7	2
Philantomba_maxwellii	2	1	1	7	2
Pseudois_schaeferi		1	1		
Hippocamelus_bisulcus	2	1	1	2	1
Muntiacus_crinifrons				4	2
Oryx_beisa					
Bubalus_mindorensis	2	1	1	2	1
Oreotragus_oreotragus	2	1	1	4	1
Oreamnos_americanus	2	1	1	2	1
Naemorhedus_caudatus					
Sus_cebifrons	2			6	2
Damaliscus_lunatus	2	1	1	1	1
Bubalus_depressicornis	3	1	1	3	1
Ammotragus_lervia		1	1	2	1
Catagonus_wagneri	3	1	1	6	2
Raphicerus_melanotis	1	1	1	2	1
Gazella_bennettii					
Bos_taurus					
Neotragus_batesi	2	1	1	4	1